作品ID,作品名,作品名読み,ソート用読み,副題,副題読み,原題,初出,分類番号,文字遣い種別,作品著作権フラグ,公開日,最終更新日,図書カードURL,人物ID,姓,名,姓読み,名読み,姓読みソート用,名読みソート用,姓ローマ字,名ローマ字,役割フラグ,生年月日,没年月日,人物著作権フラグ,底本名1,底本出版社名1,底本初版発行年1,入力に使用した版1,校正に使用した版1,底本の親本名1,底本の親本出版社名1,底本の親本初版発行年1,底本名2,底本出版社名2,底本初版発行年2,入力に使用した版2,校正に使用した版2,底本の親本名2,底本の親本出版社名2,底本の親本初版発行年2,入力者,校正者,テキストファイルURL,テキストファイル最終更新日,テキストファイル符号化方式,テキストファイル文字集合,テキストファイル修正回数,XHTML/HTMLファイルURL,XHTML/HTMLファイル最終更新日,XHTML/HTMLファイル符号化方式,XHTML/HTMLファイル文字集合,XHTML/HTMLファイル修正回数
"001102","創作家の態度","そうさくかのたいど","そうさくかのたいと","","","","","NDC 914","新字新仮名","なし",2000-08-24,2014-09-17,"https://www.aozora.gr.jp/cards/000148/card1102.html","000148","夏目","漱石","なつめ","そうせき","なつめ","そうせき","Natsume","Soseki","著者","1867-02-09","1916-12-09","なし","夏目漱石全集10","ちくま文庫、筑摩書房","1988（昭和63）年7月26日","1988（昭和63）年7月26日第1刷","","筑摩全集類聚版夏目漱石全集","筑摩書房","1971（昭和46）年4月～1972（昭和47）年1月刊行","","","","","","","","","柴田卓治","大野晋","https://www.aozora.gr.jp/cards/000148/files/1102_ruby_4488.zip","2004-02-28","ShiftJIS","JIS X 0208","2","https://www.aozora.gr.jp/cards/000148/files/1102_14956.html","2004-02-28","ShiftJIS","JIS X 0208","0"
"056923","門","もん","もん","","","","「朝日新聞」1910（明治43）年3月1日～6月12日","NDC 913","旧字旧仮名","なし",2019-01-05,2018-12-24,"https://www.aozora.gr.jp/cards/000148/card56923.html","000148","夏目","漱石","なつめ","そうせき","なつめ","そうせき","Natsume","Soseki","著者","1867-02-09","1916-12-09","なし","漱石全集　第四卷　三四郎　それから　門","岩波書店","1966（昭和41）年3月25日","1975（昭和50）年3月10日第2刷","1975（昭和50）年3月10日第2刷","","","","","","","","","","","","阿部哲也","染川隆俊","https://www.aozora.gr.jp/cards/000148/files/56923_ruby_66668.zip","2018-12-24","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/000148/files/56923_66719.html","2018-12-24","ShiftJIS","JIS X 0208","0"
"000377","国語音韻の変遷","こくごおんいんのへんせん","こくこおんいんのへんせん","","","","","NDC 811","新字新仮名","なし",1999-11-16,2014-09-17,"https://www.aozora.gr.jp/cards/000061/card377.html","000061","橋本","進吉","はしもと","しんきち","はしもと","しんきち","Hashimoto","Shinkichi","著者","1882-12-24","1945-01-30","なし","古代国語の音韻に就いて 他二篇","岩波文庫、岩波書店","1980（昭和55）年6月16日","1985（昭和60）年8月20日第8刷","","橋本進吉博士著作集　第4冊","岩波書店","1950（昭和25）年8月","","","","","","","","","久保あきら、POKEPEEK2011","久保あきら","https://www.aozora.gr.jp/cards/000061/files/377_ruby_2753.zip","2014-05-22","ShiftJIS","JIS X 0208","3","https://www.aozora.gr.jp/cards/000061/files/377_46838.html","2014-05-22","ShiftJIS","JIS X 0208","1"
"048377","太陽の子","たいようのこ","たいようのこ","","","","「太陽の子」1914（大正3）年4月","NDC 911","旧字旧仮名","なし",2008-09-13,2014-09-21,"https://www.aozora.gr.jp/cards/000754/card48377.html","000754","福士","幸次郎","ふくし","こうじろう","ふくし","こうしろう","Fukushi","Kojiro","著者","1889-11-05","1946-10-11","なし","日本現代文學全集　54　千家元麿・山村暮鳥・佐藤惣之助・福士幸次郎・堀口大學集","講談社","1966（昭和41）年8月19日","1980（昭和55）年5月26日増補改訂版第1刷","1966（昭和41）年8月19日","","","","","","","","","","","","川山隆","土屋隆","https://www.aozora.gr.jp/cards/000754/files/48377_ruby_32497.zip","2008-08-26","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/000754/files/48377_32498.html","2008-08-26","ShiftJIS","JIS X 0208","0"
"052689","古川ロッパ昭和日記","ふるかわロッパしょうわにっき","ふるかわろつはしようわにつき","01 昭和九年","01 しょうわくねん","","","NDC 775","新字旧仮名","なし",2012-01-22,2014-09-16,"https://www.aozora.gr.jp/cards/001558/card52689.html","001558","古川","緑波","ふるかわ","ろっぱ","ふるかわ","ろつは","Furukawa","Roppa","著者","1903-08-13","1961-01-16","なし","古川ロッパ昭和日記〈戦前篇〉　新装版","晶文社","2007（平成19）年2月10日","2007（平成19）年2月10日初版","2007（平成19）年2月10日初版","","","","","","","","","","","","門田裕志","仙酔ゑびす","https://www.aozora.gr.jp/cards/001558/files/52689_ruby_46548.zip","2012-01-01","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001558/files/52689_46623.html","2012-01-01","ShiftJIS","JIS X 0208","0"
"001872","法窓夜話","ほうそうやわ","ほうそうやわ","02 法窓夜話","02 ほうそうやわ","","","NDC 320","新字新仮名","なし",2001-08-20,2014-09-17,"https://www.aozora.gr.jp/cards/000301/card1872.html","000301","穂積","陳重","ほづみ","のぶしげ","ほつみ","のふしけ","Hozumi","Nobushige","著者","1855-08-23","1926-04-07","なし","法窓夜話","岩波文庫、岩波書店","1980（昭和55）年1月16日","1999（平成11）年9月16日第14刷","1999（平成11）年9月16日第14刷","法窓夜話","有斐閣","1926（大正15）年1月25日発行第8刷","","","","","","","","","高橋真也","伊藤時也","https://www.aozora.gr.jp/cards/000301/files/1872_ruby_3491.zip","2014-07-25","ShiftJIS","JIS X 0208","4","https://www.aozora.gr.jp/cards/000301/files/1872_53638.html","2014-07-25","ShiftJIS","JIS X 0208","4"
"004812","美しい村","うつくしいむら","うつくしいむら","","","","序曲「大阪朝日新聞」（「山からの手紙」の表題で。）1933（昭和8）年6月25日、美しい村「改造」1933（昭和8）年10月号、夏「文藝春秋」1933（昭和8）年10月号、暗い道「週刊朝日　第25巻第13号」1934（昭和9）年3月18日号","NDC 913","新字新仮名","なし",2004-02-17,2014-09-18,"https://www.aozora.gr.jp/cards/001030/card4812.html","001030","堀","辰雄","ほり","たつお","ほり","たつお","Hori","Tatsuo","著者","1904-12-28","1953-05-28","なし","風立ちぬ・美しい村","新潮文庫、新潮社","1951（昭和26）年1月25日、1987（昭和62）年5月20日89刷改版","1987（昭和62）年9月10日90刷","","","","","","","","","","","","","kompass","染川隆俊","https://www.aozora.gr.jp/cards/001030/files/4812_ruby_14825.zip","2014-08-05","ShiftJIS","JIS X 0208","4","https://www.aozora.gr.jp/cards/001030/files/4812_14384.html","2014-08-05","ShiftJIS","JIS X 0208","4"
"004806","大和路・信濃路","やまとじ・しなのじ","やまとししなのし","","","","","NDC 915","新字新仮名","なし",2004-03-23,2014-09-18,"https://www.aozora.gr.jp/cards/001030/card4806.html","001030","堀","辰雄","ほり","たつお","ほり","たつお","Hori","Tatsuo","著者","1904-12-28","1953-05-28","なし","昭和文学全集　第6巻","小学館","1988（昭和63）年6月1日","1988（昭和63）年6月1日初版第1刷","1988（昭和63）年6月1日初版第1刷","","","","","","","","","","","","kompass","松永正敏","https://www.aozora.gr.jp/cards/001030/files/4806_ruby_14471.zip","2010-11-02","ShiftJIS","JIS X 0208","3","https://www.aozora.gr.jp/cards/001030/files/4806_14952.html","2010-11-02","ShiftJIS","JIS X 0208","4"
"046820","植物一日一題","しょくぶついちにちいちだい","しよくふついちにちいちたい","","","","","NDC 470","新字新仮名","なし",2008-01-08,2014-09-21,"https://www.aozora.gr.jp/cards/001266/card46820.html","001266","牧野","富太郎","まきの","とみたろう","まきの","とみたろう","Makino","Tomitaro","著者","1862-05-22","1957-01-18","なし","植物一日一題","博品社","1998（平成10）年4月25日","1998（平成10）年4月25日第1刷","","随筆　植物一日一題","東洋書館","1953（昭和28）年3月","","","","","","","","","川山隆","松永正敏","https://www.aozora.gr.jp/cards/001266/files/46820_ruby_29304.zip","2012-05-10","ShiftJIS","JIS X 0208","1","https://www.aozora.gr.jp/cards/001266/files/46820_29303.html","2012-05-10","ShiftJIS","JIS X 0208","1"
"042171","すゞし","すずし","すすし","","","","","NDC 914 911","新字旧仮名","なし",2004-07-29,2014-09-18,"https://www.aozora.gr.jp/cards/000305/card42171.html","000305","正岡","子規","まさおか","しき","まさおか","しき","Masaoka","Shiki","著者","1867-10-14","1902-09-19","なし","日本の名随筆37　風","作品社","1985（昭和60）年11月25日","1997（平成9）年2月20日第13刷","1985（昭和60）年11月25日第1刷","子規全集　第一二巻","講談社","1975（昭和50）年10月","","","","","","","","","門田裕志","土屋隆","https://www.aozora.gr.jp/cards/000305/files/42171_ruby_15890.zip","2004-06-29","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/000305/files/42171_15959.html","2004-06-29","ShiftJIS","JIS X 0208","0"
"046589","日蔭の街","ひかげのまち","ひかけのまち","","","","「探偵文藝　第二巻第一、二、四号」奎運社、1926（大正15）年1、2、4月","NDC 913","新字新仮名","なし",2007-02-01,2014-09-21,"https://www.aozora.gr.jp/cards/000308/card46589.html","000308","松本","泰","まつもと","たい","まつもと","たい","Matsumoto","Tai","著者","1887-02-22","1939-04-19","なし","幻の探偵雑誌5　「探偵文藝」傑作選","光文社文庫、光文社","2001（平成13）年2月20日","2001（平成13）年2月20日初版1刷","2001（平成13）年2月20日初版1刷","","","","","","","","","","","","川山隆","土屋隆","https://www.aozora.gr.jp/cards/000308/files/46589_ruby_24941.zip","2006-12-31","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/000308/files/46589_25539.html","2006-12-31","ShiftJIS","JIS X 0208","0"
"045631","農民芸術の興隆","のうみんげいじゅつのこうりゅう","のうみんけいしゆつのこうりゆう","","","","","NDC 911","新字旧仮名","なし",2006-09-19,2014-09-18,"https://www.aozora.gr.jp/cards/000081/card45631.html","000081","宮沢","賢治","みやざわ","けんじ","みやさわ","けんし","Miyazawa","Kenji","著者","1896-08-27","1933-09-21","なし","【新】校本宮澤賢治全集　第十三巻（上）覚書・手帳　本文篇","筑摩書房","1997（平成9）年7月30日","1997（平成9）年7月30日初版第1刷","1997（平成9）年7月30日初版第1刷","","","","","","","","","","","","田中敬三","土屋隆","https://www.aozora.gr.jp/cards/000081/files/45631_txt_23615.zip","2006-07-26","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/000081/files/45631_23910.html","2006-07-26","ShiftJIS","JIS X 0208","0"
"001935","ポラーノの広場","ポラーノのひろば","ほらあののひろは","","","","","NDC K913","新字新仮名","なし",2002-01-04,2014-09-17,"https://www.aozora.gr.jp/cards/000081/card1935.html","000081","宮沢","賢治","みやざわ","けんじ","みやさわ","けんし","Miyazawa","Kenji","著者","1896-08-27","1933-09-21","なし","銀河鉄道の夜・風の又三郎・ポラーノの広場　ほか３編","講談社文庫、講談社","1971（昭和46）年7月1日","1979（昭和54）年8月15日第16刷","1979（昭和54）年8月15日第16刷","","","","","","","","","","","","白川由紀子","須藤","https://www.aozora.gr.jp/cards/000081/files/1935_ruby_19924.zip","2005-10-18","ShiftJIS","JIS X 0208","1","https://www.aozora.gr.jp/cards/000081/files/1935_19925.html","2005-10-18","ShiftJIS","JIS X 0208","0"
"004212","工場労働者の生活について","こうじょうろうどうしゃのせいかつについて","こうしようろうとうしやのせいかつについて","","","","「多喜二と百合子　第四号」多喜二・百合子研究会、1954（昭和29）年6月","NDC 366","新字新仮名","なし",2004-05-09,2014-09-18,"https://www.aozora.gr.jp/cards/000311/card4212.html","000311","宮本","百合子","みやもと","ゆりこ","みやもと","ゆりこ","Miyamoto","Yuriko","著者","1899-02-13","1951-01-21","なし","宮本百合子全集　第十八巻","新日本出版社","1981（昭和56）年5月30日","1986（昭和61）年3月20日第2版第1刷","","","","","","","","","","","","","柴田卓治","磐余彦","https://www.aozora.gr.jp/cards/000311/files/4212_txt_14690.zip","2004-02-16","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/000311/files/4212_14791.html","2004-02-16","ShiftJIS","JIS X 0208","0"
"002023","猿","さる","さる","","","","「サンデー毎日」1922（大正11）年7月10日号","NDC 912","新字新仮名","なし",2002-01-07,2014-09-17,"https://www.aozora.gr.jp/cards/000311/card2023.html","000311","宮本","百合子","みやもと","ゆりこ","みやもと","ゆりこ","Miyamoto","Yuriko","著者","1899-02-13","1951-01-21","なし","宮本百合子全集　第二巻","新日本出版社","1979（昭和54）年6月20日","1986（昭和61）年3月20日第5刷","","宮本百合子全集　第二巻","河出書房","1953（昭和28）年1月","","","","","","","","","柴田卓治","松永正敏","https://www.aozora.gr.jp/cards/000311/files/2023_ruby.zip","2002-01-07","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/000311/files/2023.html","2002-01-07","ShiftJIS","JIS X 0208","0"
"002726","スモーリヌイに翻る赤旗","スモーリヌイにひるがえるあかはた","すもおりぬいにひるかえるあかはた","","","","「大阪毎日新聞」1931（昭和6）年1月5日～21日号（15日号、19日号を除く）","NDC 915","新字新仮名","なし",2002-11-12,2014-09-17,"https://www.aozora.gr.jp/cards/000311/card2726.html","000311","宮本","百合子","みやもと","ゆりこ","みやもと","ゆりこ","Miyamoto","Yuriko","著者","1899-02-13","1951-01-21","なし","宮本百合子全集　第九巻","新日本出版社","1980（昭和55）年9月20日","1986（昭和61）年3月20日第4刷","","宮本百合子全集　第六巻","河出書房","1952（昭和27）年12月","","","","","","","","","柴田卓治","米田進","https://www.aozora.gr.jp/cards/000311/files/2726_ruby_7408.zip","2002-10-29","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/000311/files/2726_7409.html","2002-10-29","ShiftJIS","JIS X 0208","0"
"004191","一九二三年冬","せんきゅうひゃくにじゅうさんねんふゆ","せんきゆうひやくにしゆうさんねんふゆ","","","","「宮本百合子全集　第十八巻」新日本出版社、1981（昭和56）年5月30日","NDC 916","新字新仮名","なし",2004-05-04,2014-09-18,"https://www.aozora.gr.jp/cards/000311/card4191.html","000311","宮本","百合子","みやもと","ゆりこ","みやもと","ゆりこ","Miyamoto","Yuriko","著者","1899-02-13","1951-01-21","なし","宮本百合子全集　第十八巻","新日本出版社","1981（昭和56）年5月30日","1986（昭和61）年3月20日第2版第1刷","","","","","","","","","","","","","柴田卓治","磐余彦","https://www.aozora.gr.jp/cards/000311/files/4191_ruby_14676.zip","2004-02-16","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/000311/files/4191_14777.html","2004-02-16","ShiftJIS","JIS X 0208","0"
"002733","ソヴェトの芝居","ソヴェトのしばい","そうえとのしはい","","","","「改造」1931（昭和6）年3、4月号","NDC 915","新字新仮名","なし",2002-11-17,2014-09-17,"https://www.aozora.gr.jp/cards/000311/card2733.html","000311","宮本","百合子","みやもと","ゆりこ","みやもと","ゆりこ","Miyamoto","Yuriko","著者","1899-02-13","1951-01-21","なし","宮本百合子全集　第九巻","新日本出版社","1980（昭和55）年9月20日","1986（昭和61）年3月20日第4刷","","宮本百合子全集　第六巻","河出書房","1952（昭和27）年12月","","","","","","","","","柴田卓治","米田進","https://www.aozora.gr.jp/cards/000311/files/2733_ruby_7412.zip","2002-10-29","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/000311/files/2733_7413.html","2002-10-29","ShiftJIS","JIS X 0208","0"
"004213","「乳房」創作メモ","「ちぶさ」そうさくメモ","ちふさそうさくめも","","","","「宮本百合子全集　第十八巻」新日本出版社、1981（昭和56）年5月30日","NDC 914","新字新仮名","なし",2004-05-13,2014-09-18,"https://www.aozora.gr.jp/cards/000311/card4213.html","000311","宮本","百合子","みやもと","ゆりこ","みやもと","ゆりこ","Miyamoto","Yuriko","著者","1899-02-13","1951-01-21","なし","宮本百合子全集　第十八巻","新日本出版社","1981（昭和56）年5月30日","1986（昭和61）年3月20日第2版第1刷","","","","","","","","","","","","","柴田卓治","磐余彦","https://www.aozora.gr.jp/cards/000311/files/4213_ruby_14691.zip","2004-02-16","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/000311/files/4213_14792.html","2004-02-16","ShiftJIS","JIS X 0208","0"
"046235","日記","にっき","につき","02 一九一四年（大正三年）","02 せんきゅうひゃくじゅうよねん（たいしょうさんねん）","","","NDC 915","新字新仮名","なし",2010-04-17,2014-09-21,"https://www.aozora.gr.jp/cards/000311/card46235.html","000311","宮本","百合子","みやもと","ゆりこ","みやもと","ゆりこ","Miyamoto","Yuriko","著者","1899-02-13","1951-01-21","なし","宮本百合子全集　第二十三巻","新日本出版社","1979（昭和54）年5月20日","1986（昭和61）年3月20日第5刷","1982（昭和57）年4月15日第4刷","","","","","","","","","","","","柴田卓治","土屋隆","https://www.aozora.gr.jp/cards/000311/files/46235_ruby_37805.zip","2012-11-25","ShiftJIS","JIS X 0208","3","https://www.aozora.gr.jp/cards/000311/files/46235_38567.html","2012-11-25","ShiftJIS","JIS X 0208","3"
"004199","「伸子」創作メモ（二）","「のぶこ」そうさくメモ（に）","のふこそうさくめもに","","","","「宮本百合子全集　第十八巻」新日本出版社、1981（昭和56）年5月30日","NDC 914","新字新仮名","なし",2004-05-04,2014-09-18,"https://www.aozora.gr.jp/cards/000311/card4199.html","000311","宮本","百合子","みやもと","ゆりこ","みやもと","ゆりこ","Miyamoto","Yuriko","著者","1899-02-13","1951-01-21","なし","宮本百合子全集　第十八巻","新日本出版社","1981（昭和56）年5月30日","1986（昭和61）年3月20日第2版第1刷","","","","","","","","","","","","","柴田卓治","磐余彦","https://www.aozora.gr.jp/cards/000311/files/4199_ruby_14680.zip","2004-02-16","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/000311/files/4199_14781.html","2004-02-16","ShiftJIS","JIS X 0208","0"
"002025","貧しき人々の群","まずしきひとびとのむれ","ますしきひとひとのむれ","","","","「中央公論」1916（大正5）年9月号","NDC 913","新字新仮名","なし",2002-01-01,2014-09-17,"https://www.aozora.gr.jp/cards/000311/card2025.html","000311","宮本","百合子","みやもと","ゆりこ","みやもと","ゆりこ","Miyamoto","Yuriko","著者","1899-02-13","1951-01-21","なし","宮本百合子全集　第一巻","新日本出版社","1979（昭和54）年4月20日","1986（昭和61）年3月20日第5刷","1979（昭和54）年4月20日初版","宮本百合子全集　第一巻","河出書房","1951（昭和26）年6月","","","","","","","","","柴田卓治","松永正敏","https://www.aozora.gr.jp/cards/000311/files/2025_ruby_5833.zip","2003-06-29","ShiftJIS","JIS X 0208","3","https://www.aozora.gr.jp/cards/000311/files/2025_5834.html","2003-06-29","ShiftJIS","JIS X 0208","1"
"003434","モラトリアム質疑","モラトリアムしつぎ","もらとりあむしつき","","","","「アカハタ」1946（昭和21）年2月23日号","NDC 332 338","新字新仮名","なし",2003-10-18,2014-09-18,"https://www.aozora.gr.jp/cards/000311/card3434.html","000311","宮本","百合子","みやもと","ゆりこ","みやもと","ゆりこ","Miyamoto","Yuriko","著者","1899-02-13","1951-01-21","なし","宮本百合子全集　第十六巻","新日本出版社","1980（昭和55）年6月20日","1986（昭和61）年3月20日第4刷","","宮本百合子全集　第十二巻","河出書房","1952（昭和27）年1月","","","","","","","","","柴田卓治","磐余彦","https://www.aozora.gr.jp/cards/000311/files/3434_txt_12307.zip","2003-09-14","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/000311/files/3434_12340.html","2003-09-14","ShiftJIS","JIS X 0208","0"
"002018","宵（一幕）","よい（ひとまく）","よいひとまく","","","","「女性日本人」1921（大正10）年9月号","NDC 912","新字新仮名","なし",2002-01-08,2014-09-17,"https://www.aozora.gr.jp/cards/000311/card2018.html","000311","宮本","百合子","みやもと","ゆりこ","みやもと","ゆりこ","Miyamoto","Yuriko","著者","1899-02-13","1951-01-21","なし","宮本百合子全集　第二巻","新日本出版社","1979（昭和54）年6月20日","1986（昭和61）年3月20日第5刷","","宮本百合子全集　第二巻","河出書房","1953（昭和28）年1月","","","","","","","","","柴田卓治","松永正敏","https://www.aozora.gr.jp/cards/000311/files/2018_ruby_5907.zip","2003-06-29","ShiftJIS","JIS X 0208","2","https://www.aozora.gr.jp/cards/000311/files/2018_5908.html","2003-06-29","ShiftJIS","JIS X 0208","2"
"003169","「ラジオ黄金時代」の底潮","「ラジオおうごんじだい」のていちょう","らしおおうこんしたいのていちよう","","","","「唯物論研究」1937（昭和12）年8月号","NDC 699","新字新仮名","なし",2003-08-02,2014-09-17,"https://www.aozora.gr.jp/cards/000311/card3169.html","000311","宮本","百合子","みやもと","ゆりこ","みやもと","ゆりこ","Miyamoto","Yuriko","著者","1899-02-13","1951-01-21","なし","宮本百合子全集　第十四巻","新日本出版社","1979（昭和54）年7月20日","1986（昭和61）年3月20日第5刷","","宮本百合子全集　第九巻","河出書房","1952（昭和27）年8月","","","","","","","","","柴田卓治","米田進","https://www.aozora.gr.jp/cards/000311/files/3169_ruby_10822.zip","2003-06-04","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/000311/files/3169_10821.html","2003-06-03","ShiftJIS","JIS X 0208","0"
"002643","ロンドン一九二九年","ロンドンせんきゅうひゃくにじゅうくねん","ろんとんせんきゆうひやくにしゆうくねん","","","","「改造」1930（昭和5）年6月号","NDC 915","新字新仮名","なし",2002-11-08,2014-09-17,"https://www.aozora.gr.jp/cards/000311/card2643.html","000311","宮本","百合子","みやもと","ゆりこ","みやもと","ゆりこ","Miyamoto","Yuriko","著者","1899-02-13","1951-01-21","なし","宮本百合子全集　第九巻","新日本出版社","1980（昭和55）年9月20日","1986（昭和61）年3月20日第4刷","","宮本百合子全集　第六巻","河出書房","1952（昭和27）年12月","","","","","","","","","柴田卓治","米田進","https://www.aozora.gr.jp/cards/000311/files/2643_ruby_7376.zip","2003-01-13","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/000311/files/2643_7377.html","2002-10-29","ShiftJIS","JIS X 0208","0"
"059821","〈我が愛する詩人の伝記〉（補遺）","〈わがあいするしじんのでんき〉（ほい）","わかあいするししんのてんきほい","","","","「婦人公論　第四十三巻第五号」1958（昭和33）年5月号","","新字新仮名","なし",2022-12-03,2022-11-26,"https://www.aozora.gr.jp/cards/001579/card59821.html","001579","室生","犀星","むろう","さいせい","むろう","さいせい","Murou","Saisei","著者","1889-08-01","1962-03-26","なし","室生犀星全集　別卷二","新潮社","1968（昭和43）年1月30日","1968（昭和43）年1月30日","1976（昭和51）年8月30日セット版","婦人公論　第四十三巻第五号","　","1958（昭和33）年5月号","","","","","","","","","きりんの手紙","hitsuji","https://www.aozora.gr.jp/cards/001579/files/59821_ruby_76717.zip","2022-11-26","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001579/files/59821_76753.html","2022-11-26","ShiftJIS","JIS X 0208","0"
"058947","屍体異変","したいいへん","したいいへん","","","","","NDC 490","新字新仮名","なし",2018-09-13,2018-08-28,"https://www.aozora.gr.jp/cards/001977/card58947.html","001977","森","於菟","もり","おと","もり","おと","Mori","Otto","著者","1890-09-13","1967-12-21","なし","世界教養全集　別巻1　日本随筆・随想集","平凡社","1962（昭和37）年11月20日","1964（昭和39）年5月4日4版","1962（昭和37）年11月20日初版","","","","","","","","","","","","sogo","きゅうり","https://www.aozora.gr.jp/cards/001977/files/58947_txt_65776.zip","2018-08-28","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001977/files/58947_65747.html","2018-08-28","ShiftJIS","JIS X 0208","0"
"001115","山羊髯編輯長","やぎひげへんしゅうちょう","やきひけへんしゆうちよう","","","","","NDC 913","新字新仮名","なし",2000-09-09,2014-09-17,"https://www.aozora.gr.jp/cards/000096/card1115.html","000096","夢野","久作","ゆめの","きゅうさく","ゆめの","きゆうさく","Yumeno","Kyusaku","著者","1889-01-04","1936-03-11","なし","夢野久作全集4","ちくま文庫、筑摩書房","1992（平成4）年9月24日","","1992（平成4）年9月24日第1刷","","","","","","","","","","","","柴田卓治","かとうかおり","https://www.aozora.gr.jp/cards/000096/files/1115_ruby.zip","2000-09-09","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/000096/files/1115.html","2000-09-09","ShiftJIS","JIS X 0208","0"
"002557","晶子詩篇全集","あきこしへんぜんしゅう","あきこしへんせんしゆう","","","","","NDC 911","新字旧仮名","なし",2004-07-25,2014-09-18,"https://www.aozora.gr.jp/cards/000885/card2557.html","000885","与謝野","晶子","よさの","あきこ","よさの","あきこ","Yosano","Akiko","著者","1878-12-07","1942-05-29","なし","晶子詩篇全集","実業之日本社","1929（昭和4）年1月20日","1929（昭和4）年1月20日","1929（昭和4）年1月20日","","","","","","","","","","","","武田秀男","kazuishi","https://www.aozora.gr.jp/cards/000885/files/2557_ruby_13911.zip","2012-03-23","ShiftJIS","JIS X 0208","3","https://www.aozora.gr.jp/cards/000885/files/2557_15784.html","2012-03-23","ShiftJIS","JIS X 0208","3"
"002168","巴里より","パリイより","はりいより","","","","","NDC 915","新字旧仮名","なし",2011-06-01,2014-09-16,"https://www.aozora.gr.jp/cards/000320/card2168.html","000885","与謝野","晶子","よさの","あきこ","よさの","あきこ","Yosano","Akiko","著者","1878-12-07","1942-05-29","なし","巴里より","金尾文淵堂","1914（大正3）年5月3日","1914（大正3）年5月3日","1914（大正3）年5月3日","","","","","","","","","","","","武田秀男","松永正敏","https://www.aozora.gr.jp/cards/000320/files/2168_ruby_16254.zip","2011-05-15","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/000320/files/2168_42800.html","2011-05-15","ShiftJIS","JIS X 0208","0"
"002169","礼厳法師歌集","れいごんほうしかしゅう","れいこんほうしかしゆう","","","","","NDC 911","新字旧仮名","なし",2004-07-24,2014-09-18,"https://www.aozora.gr.jp/cards/000321/card2169.html","000320","与謝野","寛","よさの","ひろし","よさの","ひろし","Yosano","Hiroshi","編者","1873-02-26","1935-03-26","なし","明治文学全集64　明治歌人集","筑摩書房","1968（昭和43）年9月25日","1968（昭和43）年9月25日第1刷","1968（昭和43）年9月25日第1刷","禮嚴法師歌集","新詩社","1910（明治43）年8月","","","","","","","","","武田秀男","Juki","https://www.aozora.gr.jp/cards/000321/files/2169_ruby_15940.zip","2004-06-24","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/000321/files/2169_15941.html","2004-06-24","ShiftJIS","JIS X 0208","0"
"052434","随筆　宮本武蔵","ずいひつ　みやもとむさし","すいひつみやもとむさし","","","","","NDC 914","新字新仮名","なし",2013-03-06,2014-09-16,"https://www.aozora.gr.jp/cards/001562/card52434.html","001562","吉川","英治","よしかわ","えいじ","よしかわ","えいし","Yoshikawa","Eiji","著者","1892-08-11","1962-09-07","なし","随筆　宮本武蔵／随筆　私本太平記","吉川英治歴史時代文庫　補5、講談社","1990（平成2）年10月11日","2003（平成15）年3月5日第9刷","2003（平成15）年3月5日第9刷","","","","","","","","","","","","門田裕志","仙酔ゑびす","https://www.aozora.gr.jp/cards/001562/files/52434_ruby_49776.zip","2013-01-03","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001562/files/52434_49777.html","2013-01-03","ShiftJIS","JIS X 0208","0"
